,Unnamed: 0,newid,seqno,expname,cost_flag,ref_mo,ref_yr,gift,cost,fam_size,family_income_before_tax,calibration_weight,number_of_earners,interview_month,interview_year,sex_ref,total_expenditure_prior_quarter,total_expenditure_current_quarter,sampling_state,imputed_income_before_tax,division,urban,product_description,region_description,sampling_city,Population_bucket
0,0,5348484,17,QADOTHX,Valid value (allocated),January,2024,False,3,2,170000,35327.475,1,February,2024,Male,10609.3333,6501.1667,Illinois,170000.0,East North Central,Urban,Cable and satellite television services,Midwest,Chicago-Naperville-Elgin,5+ Million
1,1,5356724,10,QADOTHX,Valid value (allocated),February,2024,False,4,1,91200,7099.861,1,March,2024,Male,4515.75,8258.5,Hawaii,91200.0,Pacific,Urban,Cable and satellite television services,West,Honolulu,0.5-1.0 Million
2,2,5357274,14,QADOTHX,Valid value (allocated),February,2024,False,3,1,83311,2360.144,1,March,2024,Male,3666.5,9154.0,Alaska,83311.0,Pacific,Urban,Cable and satellite television services,West,Anchorage,100-500 Thousands
3,3,5358004,25,QADOTHX,Valid value (allocated),February,2024,False,5,1,181256,10582.927,0,March,2024,Female,2597.6667,12292.3333,Maryland,145058.9,South Central,Urban,Cable and satellite television services,South,Baltimore-Columbia-Towson,1-5 Million
4,7,5366304,17,QADOTHX,Valid value (allocated),January,2024,False,10,3,72000,27664.413,1,March,2024,Female,3983.3333,8911.6667,Texas,72000.0,West South Central,Urban,Cable and satellite television services,South,Houston-The Woodlands-Sugar Land,5+ Million
5,9,5366674,25,QADOTHX,Valid value (allocated),January,2024,False,4,1,50350,13301.201,1,March,2024,Female,6555.5833,21713.1667,Florida,50350.0,South Central,Urban,Cable and satellite television services,South,Tampa-St. Petersburg-Clearwater,1-5 Million
6,10,5424513,23,QADOTHX,Valid value (allocated),January,2024,False,4,2,175000,25564.229,2,February,2024,Male,14710.8335,6176.9167,California,175000.0,Pacific,Urban,Cable and satellite television services,West,San Francisco-Oakland-Hayward,1-5 Million
7,15,5343904,17,TELCEL3X,Valid value (unadjusted),January,2024,False,32,1,11144,27330.965,0,February,2024,Female,2598.0,956.5,Maryland,11144.0,South Central,Urban,Cellular phone service,South,Washington-Arlington-Alexandria,5+ Million
8,18,5343964,50,TELCEL3X,Valid value (unadjusted),January,2024,False,177,2,132050,13857.812,2,February,2024,Female,43611.4623,17921.7311,California,316570.4,Pacific,Urban,Cellular phone service,West,San Diego-Carlsbad,1-5 Million
9,19,5343964,51,TELCEL3X,Valid value (allocated),January,2024,False,101,2,132050,13857.812,2,February,2024,Female,43611.4623,17921.7311,California,316570.4,Pacific,Urban,Cellular phone service,West,San Diego-Carlsbad,1-5 Million
10,20,5343964,51,QADCAB3X,Valid value (allocated),January,2024,False,112,2,132050,13857.812,2,February,2024,Female,43611.4623,17921.7311,California,316570.4,Pacific,Urban,Cable and satellite television services,West,San Diego-Carlsbad,1-5 Million
